user,location,tweet
CdV42Ah54kR9upX,,@JoeBiden Please cancel the presidential proclamations 10014&amp;10052 soon so that we can start our interviews as soon… https://t.co/hbNp1O9Fgo
FakeSatoshiLite,United States,@JoeBiden Another problem with these stimulus checks if someone can fix is that they are not paying for most of the… https://t.co/SDUaFcKNCy
SHEL61208713,,@JoeBiden Its long past time for you to retire
GoergenMonica,,"@JoeBiden You are looking  fun  Hon  President  J Biden ,after a storm ☔️ there is calm"
mycabindream,,@JoeBiden PLEASE move it inside. These guys are not worth it. And they have nothing to lose.  We need you!
pamwallace,,"@JoeBiden didn’t say he was discriminating against White Men. He just said he’d focus on Firstly, Small Businesses.… https://t.co/gtbsBthxpM"
Jethro_the_cat,,"RT @vivala_me: @JoeBiden Don't cry abt ""everything will go up"" either. COST OF LIVING has gone up regularly w/out any help.  Ask Texas. We'…"
PancholiKeyur4,,@JoeBiden I love you for that ❤ 😘
REPLYBONURGENT,London.,"@JoeBiden What's your minimum wage from the China Communist Party? Or do you get your payments in lump sums?

How's President Elect Harris?"
callieABales,,@JoeBiden You guys realized that everything will just go up and you will be in the same boat your in now? Well actu… https://t.co/kBjWxuPZwk
SHEL61208713,,@JoeBiden I urge you to concede and goto hell
Jethro_the_cat,,"RT @pixiers1: @JoeBiden Executive order that one! 
My daughter who is a college grad from UGA, 5th in her class in High School worked at Lo…"
Suze78595663,,@JoeBiden You go Joe .....Get that lunatic out the White House x
Amirhussinmuha1,,@JoeBiden thank you very much
melisweed69,Pittsburgh ,RT @melisweed69: @JoeBiden I hope that you will also stand up &amp; fight for the 50 million chronic Pain Patients that are suffering needlessl…
thefonziscool,"Beverly Hills, CA",@JoeBiden Is Hunter putting pressure on you to peer the price of crack?
Jethro_the_cat,,"RT @Nowayjose1979: @JoeBiden lets also make sure that the minimum wage gets annually indexed to inflation, so we don't have to have this si…"
Jethro_the_cat,,"RT @lsthart: @JoeBiden @TheTrueAmerica5 It's time to raise the minimum income.
Everyone deserves a Universal Basic Income floor.
We are suc…"
DEBBIEM75684937,,@JoeBiden Joe your going to be a great President unlike lame ass duck trump.
SoongGangnam,,@JoeBiden Your speech incredibly like CCP's.
PrudenceFaulkn9,"St. Augustine, Fl. ","@JoeBiden Good. It’s about time. We’ve had all the low-life, creeps we can stomach."
Herodius2,,@JoeBiden And never speak another word again. It's offensive. Imagine the reprecussions.
Ryan_Trent_,"Arizona, USA","@JoeBiden A GS-5 with the government makes about $15 an hour, but they usually require a 4 yr college degree. Hmmmn?"
PheoWel,,@JoeBiden Shut down foxnews first
VGazet,,@JoeBiden Oh no. How could it be better after you have stolen the election from the American people.
Trumpet18111489,,@JoeBiden I love that t shirt on you. Gives you the right man ‘shape’ or dad bod is what they say these days.
dds_aajtv,Gahkuch Ghizar GB,@JoeBiden Not using a mask is increasing the number of corona patients
LaghzaouiHafid,,"@JoeBiden Good luck, payment and success, Mr. President Joe Biden."
Sana46664931,,@JoeBiden We need govt to leave us alone
primassembly,"Rose Hill, VA",@JoeBiden how do we have lemons in january?!?!?!
PrudenceFaulkn9,"St. Augustine, Fl. ",@JoeBiden Will you work on getting us a Stimulous Check. We need it worse.
Jethro_the_cat,,"RT @BobPersis: @JoeBiden After Ford pardoned Nixon, Walter Mondale tried but failed to gain approval for an amendment that would have given…"
RhiannaGrace,"Manchester, England","RT @unleashthetea: @JoeBiden For those wondering if it’s worth impeaching him this time, it means he: 
1) loses his 200k+ pension for the r…"
DoneFlowar,"Barrie, Ontario",@JoeBiden Then do it.
BigBen78591761,,@JoeBiden Mr president if every item in a grocery store has to have ingredients on the box. Why not the profit on b… https://t.co/wdj4yYlNmM
Shrawan1981,"Indore, India",@JoeBiden You will be great President of USA.....  Nice vision with excellent Thoughts...
woahtrevor,,"@JoeBiden to the people complaining that stuff is going to be priced higher if min wage goes up, need to shut up. i… https://t.co/qvzCWMBvuC"
aapee12,Helsinki,"@JoeBiden Sterilization, here fraudster Biden took saltwater"
VGazet,,@JoeBiden That is exactly you should have never stolen the election from the American people. Catholic never steal… https://t.co/HRJd0YKNJs
Divadinah,"Columbus, Oh",RT @msingerx: @JoeBiden #JusticeMatters #RightMatters NO ONE IS ABOVE THE LAW. if you want to move forward and stop Trump and future “Trump…
jayceelifestyle,"Los Angeles, CA",@JoeBiden and @SenKamalaHarris are FRAUDS and DEVILS.
jim56222222,,"RT @nicklaroberts: @JoeBiden And what will that do to the already struggling small businesses?

It will crush them even more .

Focus on ge…"
Divadinah,"Columbus, Oh",RT @msingerx: @JoeBiden @KamalaHarris In America #RightMatters. “Can’t be real unity without accountability”
Gino56604385,,@JoeBiden Except the Democrat politician from California Pelosi
Bowen85AI,uk for now ! ask for update ,@JoeBiden Keep quiet
Gino56604385,,@JoeBiden Is there still a employer who will hire them????
etikurwa,,"@JoeBiden yea it wasnt above the law, now is when you step in"
JiggaJerm,"Georgia, VT 802 845","@JoeBiden Fuck, well I certainly “hope” so too.  Get it done, Joe."
mrlindan,portland oregon,@JoeBiden Then where is it Joe?
ColinKi02276809,,"@JoeBiden @judyvw2 Refreshing, thinking of people and not self.
All the very best to you and your administration."
WarrenW39764377,"Mayfield, KY",@JoeBiden A $15/hour minimum wage will automatically adjust itself by higher taxes and higher prices on everything.… https://t.co/m63azyU7ff
JaydenSongiso,,@JoeBiden True the. Power of the people is much stronger than the people in power
woahtrevor,,@JoeBiden the owner of the place i work at will throw a fit ab this one!! just got min wage to $11 in arkansas &amp; i… https://t.co/IBcFkwXI89
Gino56604385,,@JoeBiden  welcome to China
AndrejRomke,Republic of Serbia,@JoeBiden Yeah.. how about NO?
Clow36347576,"Pennsylvania, USA",RT @Boiler___Up: @JoeBiden I like Presidents that send out messages of peace and unity....I also like Presidents that have twitter accounts…
viproomservice,,@JoeBiden Mr. President; is it possible that you can throw that bum out on his head? Make sure you EXTRA sanitize t… https://t.co/pIzogHHMef
JamesKovu,,@JoeBiden Hope! Yes! That’s the answer.
StephenMattiso3,,"@JoeBiden Economics not your strong point Joe?

😂🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️"
SimayaMorris,,@JoeBiden Thank you for being concerned leaser
JustinLeeAvery,"Vancouver, Washington",@JoeBiden One step closer to socialism. Just What you want to do make the same amount as the kid in highschool.
MsLaynaParis,Cali Baby,@JoeBiden Let’s goooooo. We ready.
jim56222222,,RT @DanielRegha: @JoeBiden I'm not an American but I still don't understand why majority hate on Trump; He is entitled to air his honest op…
sugo_stephen,kampala Uganda,@JoeBiden I am coming to america
pminhhung,"Ho Chi Minh, Vietnam","@JoeBiden Hacker 168 vn not like you,enemy of dady TRUMP ,WE WILL BRING THE LIGHT FOR DADY TRUMP,SCAM IN VOTE NOT G… https://t.co/4MU3ZO6Y0X"
JuanGab67713511,,"@JoeBiden That would be great if the cost of living does not rise with the minimum wage;

 for example 15$ an hour… https://t.co/xcnOXH4JPV"
jim56222222,,RT @NoCap_98685: @JoeBiden Lol just means a Big Mac will cost 9.99 soon ... raising the min wage just triggers a domino effect that lowers…
Jacob13680857,"California, USA","@JoeBiden do you plan to repeal the Gay Panic Defense, aka the legal defense that can allow someone to assault or m… https://t.co/TTeAfnezKx"
Simpmeh,,"RT @GoatInsider: @JoeBiden Don’t y’all think that by raising the minimum wage, it will create a higher cost of living such as higher costs…"
hbkings1,,"RT @murray_nyc: @JoeBiden “It’s not a political issue, it’s an issue of public safety.”

Had we had a president talking like that for the p…"
AndrejRomke,Republic of Serbia,@JoeBiden Keep your shitty mask and your shitty vaccine.
hobo1510,,@JoeBiden Yep no worries.  Kamala will be in charge.
Sportking734,USA,"RT @nicklaroberts: @JoeBiden And what will that do to the already struggling small businesses?

It will crush them even more .

Focus on ge…"
Jeffery50517277,,"@JoeBiden Please, something for many essential workers"
DirigoPost,USA,"@JoeBiden Here we go with populism again. Just out of the gate. 
Listen to your economists, get the budget and infr… https://t.co/W7JbrmWFvk"
Tom_liang5222,"Chinantla, Puebla","@JoeBiden Hello, President Biden, I'm your brother, my name is Weihang, and I'm going to help your country solve th… https://t.co/Eq0s9UuHcE"
GhorbaniJoseph,,@JoeBiden The way to go🇺🇸
SueAnn3675,Springfield Missouri ,@JoeBiden Minimum wage goes up and so do the prices on everything thing else. So people are still trying to get by… https://t.co/zLUGCJ6oSw
Brigitt09456321,,@JoeBiden Who is really listening to you
Silencingwarri1,,"@JoeBiden Don't you read? One of yours, Hollywood Bruce Willis doesn't want to wear a mask. I wonder how many more democrats don't either."
AndrewLipo,,"@JoeBiden Sorry we closed your small business. Now if you want to re open up that cashier you’re paying $7.50 an hour to, double it."
Sportking734,USA,RT @NoCap_98685: @JoeBiden Lol just means a Big Mac will cost 9.99 soon ... raising the min wage just triggers a domino effect that lowers…
MAbdullahAbba11,,@JoeBiden Nice
Tom_liang5222,"Chinantla, Puebla","@JoeBiden Hello, President Biden, I'm your brother, my name is Weihang, and I'm going to help your country solve th… https://t.co/W8DEYWHaMy"
pb100004,seattle,@JoeBiden Trump tried 2k.... y’all denied it thanks Nancy
Nabilbo50820293,,"@JoeBiden -35k Visas are awaiting DV2020 Winners ... 
-55K Visas are awaiting DV2021 Winners
- Justice is awaiting… https://t.co/AKEKfrsVJX"
llavenchi,,@JoeBiden Blue peaches throughout the orangy peach
DanFerreira77,Texas,"@JoeBiden I am imploring you to get Mrs Pelossi to stand down and let country unite, we all will vote for you, we a… https://t.co/oSObmA0QB6"
mboyobomboko,"Toulouse, France","@JoeBiden Yes, He must go out😤😤😤"
Sportking734,USA,RT @DanielRegha: @JoeBiden I'm not an American but I still don't understand why majority hate on Trump; He is entitled to air his honest op…
Hamlog5,,@JoeBiden Wish you best of luck 👍
Hagfishsaurus,Crime City,RT @tonyposnanski: @JoeBiden Thank you Mr. President. I truly love presidents who have Twitter accounts.
Tom_liang5222,"Chinantla, Puebla","@JoeBiden Hello, President Biden, I'm your brother, my name is Weihang, and I'm going to help your country solve th… https://t.co/fHjgk0fDY0"
iris_uka,,@JoeBiden Please help us!!! https://t.co/NPReHfN26r
Tom_liang5222,"Chinantla, Puebla","@JoeBiden Hello, President Biden, I'm your brother, my name is Weihang, and I'm going to help your country solve the epidemic"
NabilSa05406313,,"RT @Dv2021Winner: @JoeBiden Immigrants have played a vital part in shaping the country's growth and progress as a nation.
@AILANational

@T…"
cherrizzle,"Tacoma, WA",@JoeBiden America hates you.
NabilSa05406313,,"RT @DV2021_: @JoeBiden We are Diversity Visa selectees who have a deadline on sept. 30 to get our visas.
 Trump's proclamation 10014 limits…"
Moore94E,"Fort Wayne, IN",@JoeBiden What about servers that only make 2.13 an hour? Getting a 3 thousand dollar tax bill every year sucks pre… https://t.co/VymfPpZQN8
GoatInsider,World,"RT @GoatInsider: @JoeBiden Don’t y’all think that by raising the minimum wage, it will create a higher cost of living such as higher costs…"
Sportking734,USA,RT @Adjust2Makenji: @JoeBiden In Australia our average wages are around 18 dollars an hour. Because of this things are very expensive in Au…
28_lezah,,@JoeBiden 🤔I truly hope Biden is able to get minimum wage to $15
hvlsutigers,,@JoeBiden How are small business going to pay $15 an hour when they have been shut down by this virus. You talk out… https://t.co/E3lyXOFVdY
GoatInsider,World,"@JoeBiden Don’t y’all think that by raising the minimum wage, it will create a higher cost of living such as higher… https://t.co/4fcmZRnwVh"
DzineThrone,Meditating between rage tweets,"RT @TaraMills16: @JoeBiden Thank you. Now take your oath of office from a secure location, televised and live-streamed and save countless l…"
Krissie_r,"ÜT: 51.658421,-4.039499","@JoeBiden Step 1 is to make sure that sedition and insurrection, particularly high profile instances, have consequences.

Impeach."
SOVIETNAM_MUSIC,"New York, USA",@JoeBiden Joe Biden is built. 🤣
louisvuittonfly,The Bay or LA,RT @louisvuittonfly: @JoeBiden Just gonna put this video of me here https://t.co/r0otTQVIVY
MellathM,,"@JoeBiden 72 days past, in war killing lot of people, taking property of tigray, bombing in mosque and churches, ra… https://t.co/ZEiXKAVZC6"
